TrumpGen,TrumpAbort,SCGen,SCAbort,BidenGen,BidenAbort,religion,bornagain,CRS1,CRS2,CRS3,CRS4,CRS5,AbortionWrong,AbortionMurder,AbortionRape,AbortionHealth,AbortionDefect,AbortionWant,AbortionAll,AbortionWait,AbortionUltrasound,PolAffiliate,IdeologySocial,IdeologyEconomy,IdeologySecurity,vote2020,Acheck3,abortion_score_5pt,abortion_group
1,1,3,2,1,1,7,0,4,2,1,1,3,2,1,7,7,7,7,7,1,7,5,5,4,6,8,1,4.695537088334871,pro-choice
3,2,3,2,3,2,2,2,1,5,3,3,2,2,2,6,6,6,7,7,2,2,3,3,3,3,8,1,4.4787319175130795,pro-choice
1,1,0,0,2,2,9,0,2,2,1,1,1,2,1,6,6,6,6,1,6,6,5,5,3,4,8,1,3.74324407510003,pro-choice
2,4,4,3,3,2,11,0,3,5,1,3,3,7,6,2,3,1,1,1,7,7,2,4,3,3,1,1,1.4014773776546625,pro-life
5,5,3,3,1,1,1,0,3,4,2,2,3,6,6,6,6,2,2,2,2,6,3,3,2,3,8,1,2.6993536472760846,pro-life
3,2,4,2,2,1,3,0,3,2,3,2,2,4,4,6,6,2,2,4,4,4,2,3,2,1,8,1,3.1167128347183746,pro-life
5,5,4,4,1,1,1,0,3,4,4,3,2,6,6,4,6,4,1,2,4,4,1,2,2,1,8,2,2.5399199753770385,pro-life
4,4,5,5,3,3,2,2,4,5,3,5,5,6,5,5,6,3,2,3,4,6,2,4,4,4,8,1,2.722868574946137,pro-life
2,3,3,4,2,2,4,0,4,5,5,5,5,5,3,4,6,1,1,2,4,4,4,3,3,3,8,1,2.6408741151123416,pro-life
1,1,4,4,3,3,6,0,1,2,3,2,1,6,4,7,6,4,4,4,4,5,5,6,3,5,8,1,3.3561711295783314,neutral
3,3,3,3,2,2,9,0,1,1,1,1,1,4,4,7,7,3,5,2,4,6,3,4,3,3,8,1,3.4299168975069247,neutral
0,0,0,0,0,0,9,0,1,3,1,1,2,2,4,7,7,2,7,4,5,4,4,4,4,4,8,2,3.8120652508464135,pro-choice
2,2,3,2,2,2,8,0,2,3,1,1,1,3,3,7,7,4,4,2,7,7,3,4,4,4,8,5,3.3924899969221296,neutral
3,2,3,3,3,2,2,2,3,3,2,3,3,5,3,7,6,4,4,5,5,6,4,3,4,3,8,1,3.485318559556786,neutral
0,0,3,3,0,0,10,0,2,3,2,2,2,4,3,5,5,4,3,4,4,4,4,4,4,4,8,3,3.215820252385349,neutral
2,1,0,0,3,2,2,2,2,5,2,2,4,6,6,6,5,3,2,2,6,7,2,3,4,3,8,2,2.4385964912280693,pro-life
4,2,4,4,2,3,2,2,3,4,2,2,3,4,6,7,7,1,1,3,4,7,3,4,2,2,8,2,2.821114188981225,pro-life
2,1,3,1,3,2,2,2,2,3,2,2,2,1,1,7,7,6,6,5,4,2,2,3,2,2,8,1,4.535364727608495,pro-choice
3,3,4,0,3,4,2,2,3,3,3,2,2,3,3,7,7,6,5,5,6,4,4,4,4,4,8,1,3.9809787626962136,pro-choice
1,1,3,1,2,3,2,3,4,5,2,3,3,5,1,7,7,7,7,7,4,7,7,7,4,7,8,1,4.3568482610033845,pro-choice
1,1,3,1,3,4,8,0,2,2,3,2,1,2,2,7,7,5,4,5,5,7,6,6,6,4,8,3,3.9063711911357335,pro-choice
1,1,3,3,1,1,9,0,2,2,2,2,2,1,1,7,7,7,7,1,7,7,4,5,4,4,8,5,4.0862419205909495,pro-choice
2,2,4,2,5,5,11,0,4,3,1,3,2,1,1,7,7,7,7,1,2,7,4,4,2,3,3,1,4.321391197291473,pro-choice
1,1,3,2,4,4,7,0,2,1,1,1,1,1,1,7,7,6,7,6,2,2,7,7,6,5,8,1,4.774823022468451,pro-choice
2,2,4,3,4,4,1,0,3,2,2,2,2,3,2,7,7,4,3,5,5,3,5,6,4,3,8,2,3.846783625730993,pro-choice
0,0,0,0,0,0,1,0,1,3,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,8,3,3.0,pro-life
1,1,1,1,1,1,11,0,1,3,3,1,2,2,1,7,7,4,7,7,5,1,4,4,4,4,8,1,4.527362265312402,pro-choice
3,1,4,3,1,1,1,0,1,1,1,1,1,3,2,7,7,5,6,5,4,4,3,2,2,1,8,2,4.166635887965527,pro-choice
2,2,2,2,3,3,9,0,3,3,1,1,1,1,1,7,7,4,7,4,4,1,5,5,5,5,8,1,4.44376731301939,pro-choice
5,4,4,4,4,4,1,0,3,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,8,1,3.0,pro-life
3,2,3,3,3,2,7,0,1,1,1,1,2,4,4,5,5,3,5,4,5,6,2,4,3,3,8,2,3.091597414589104,pro-life
3,3,3,3,3,3,1,0,2,4,1,1,2,4,4,4,4,4,4,4,4,4,2,2,1,2,8,1,3.0,pro-life
3,3,3,3,3,3,9,0,2,2,1,1,2,4,4,4,4,4,4,4,4,4,5,4,4,4,8,1,3.0,pro-life
4,4,4,4,4,4,9,0,2,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,8,1,3.0,pro-life
3,4,4,4,3,4,9,0,3,1,1,1,1,3,1,7,7,5,5,7,2,5,4,4,2,5,8,1,4.356602031394274,pro-choice
3,3,3,3,3,3,9,0,2,1,2,2,1,1,1,7,7,7,7,7,1,1,4,4,4,4,8,3,4.999999999999998,pro-choice
2,2,3,3,3,3,9,0,2,1,1,1,1,3,3,7,7,4,6,1,5,3,5,6,5,5,8,1,3.7399199753770387,pro-choice
